"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Tomas";"BOLITO";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"2";"Lukas";"KOKOS";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"3";"Ondra";"BANAN";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"4";"Jirka";"SVESTKA";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"5";"Jana";"CELER";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
