"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"23";"Psychokopytníci";"PATRONA";"None";"None";"None";"None";"2018-09-15 20:11:17.138522";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"24";"TBC";"VELRYBA";"None";"2018-09-15 08:31:05.795085";"2018-09-15 10:02:51.754625";"None";"2018-09-15 14:08:47.689139";"None";"2018-09-15 16:23:02.253815";"2018-09-15 17:47:15.420505";"2018-09-15 18:55:58.206267";"2018-09-15 19:52:46.589098";"None";"None";"None";"None";"None"
"25";"Šneci";"PARKETA";"None";"None";"2018-09-15 10:44:12.467778";"2018-09-15 12:38:26.181775";"2018-09-15 14:51:41.924101";"None";"2018-09-15 17:10:48.300057";"None";"None";"None";"None";"None";"None";"None";"None"
"26";"IDDQD";"SASANKA";"None";"2018-09-15 09:25:12.357054";"2018-09-15 10:57:14.684972";"None";"2018-09-15 15:02:08.860884";"None";"2018-09-15 17:38:33.409147";"None";"None";"None";"None";"None";"None";"None";"None"
"27";"Lamas&Papas";"VITAMIN";"None";"2018-09-15 09:02:46.588590";"2018-09-15 10:17:43.340053";"2018-09-15 12:19:38.521266";"2018-09-15 14:27:32.486438";"None";"2018-09-15 16:59:26.290258";"None";"None";"None";"None";"None";"None";"None";"None"
"28";"Spaøený nudle";"OPLATKA";"None";"2018-09-15 09:23:28.678002";"2018-09-15 10:56:48.567126";"None";"None";"None";"2018-09-15 16:38:27.751218";"2018-09-15 17:26:39.691429";"2018-09-15 18:14:23.886325";"None";"None";"None";"None";"None";"None"
"29";"Bobika";"OBRATEL";"None";"None";"2018-09-15 10:35:24.882652";"None";"2018-09-15 14:33:33.254416";"None";"2018-09-15 17:01:58.670818";"2018-09-15 18:11:01.384590";"None";"None";"None";"None";"None";"None";"None"
"30";"Sovy v mazutu";"RYPADLO";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"31";"Chnapy haraa!!";"NUDISTA";"None";"2018-09-15 08:38:04.440242";"2018-09-15 09:57:58.453822";"None";"2018-09-15 14:52:47.110178";"None";"2018-09-15 16:41:49.589217";"2018-09-15 18:37:35.920777";"None";"None";"None";"None";"None";"None";"None"
"32";"Destoffky";"VANILKA";"None";"None";"2018-09-15 12:04:06.060992";"None";"None";"None";"2018-09-15 17:13:52.404392";"2018-09-15 18:22:52.011940";"None";"None";"None";"None";"None";"None";"None"
"33";"POJELT";"PALANDA";"None";"2018-09-15 08:54:52.881330";"2018-09-15 10:29:51.228972";"None";"2018-09-15 15:52:39.507142";"2018-09-15 15:38:52.980634";"2018-09-15 17:10:39.881002";"2018-09-15 18:30:15.895246";"None";"None";"None";"None";"None";"None";"None"
"34";"Tak do desátého";"ETERNIT";"None";"2018-09-15 08:35:43.195728";"2018-09-15 09:44:15.222505";"None";"2018-09-15 13:33:15.260552";"None";"2018-09-15 16:12:34.260174";"2018-09-15 17:21:19.882061";"2018-09-15 18:38:04.696121";"None";"None";"None";"None";"None";"None"
"35";"Nostromo";"OHRYZEK";"None";"2018-09-15 08:51:37.379870";"2018-09-15 10:06:09.948752";"2018-09-15 12:53:20.577219";"2018-09-15 15:07:45.527191";"None";"2018-09-15 16:58:23.834728";"None";"None";"None";"None";"None";"None";"None";"None"
"36";"Už tam budem?";"BARVIVO";"None";"2018-09-15 10:07:12.591998";"2018-09-15 11:04:08.403394";"None";"2018-09-15 15:15:22.027476";"None";"2018-09-15 17:39:15.853117";"None";"None";"2018-09-15 20:10:44.056876";"None";"None";"None";"None";"None"
"37";"Lamy";"VIKUNA";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"38";"Lamy2";"VIKUNA2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"39";"Lamy3";"VIKUNA3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
