"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Tomas";"BOLITO";"None";"2018-09-14 08:47:03.371964";"2018-09-14 08:47:51.810576";"2018-09-14 08:49:59.463866";"2018-09-14 08:53:10.279677";"2018-09-14 08:54:09.740115";"2018-09-14 08:57:48.918058";"2018-09-14 08:58:46.409577";"2018-09-14 09:00:28.689846";"2018-09-14 09:02:28.003442";"None";"None";"None";"None";"None"
"2";"Lukas";"KOKOS";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"3";"Ondra";"BANAN";"None";"2018-09-14 09:01:31.180556";"None";"2018-09-14 09:02:39.527522";"2018-09-14 09:02:52.778262";"2018-09-14 09:03:08.704743";"2018-09-14 09:03:50.602644";"2018-09-14 09:04:03.176974";"2018-09-14 09:04:19.201364";"2018-09-14 09:04:41.562908";"None";"None";"None";"None";"None"
"4";"Jirka";"SVESTKA";"None";"2018-09-14 08:45:41.609774";"2018-09-14 08:46:58.634781";"None";"2018-09-14 08:50:39.815053";"2018-09-14 08:51:11.146980";"2018-09-14 08:52:33.975481";"2018-09-14 08:53:56.831811";"2018-09-14 08:55:30.804719";"2018-09-14 08:56:12.863138";"None";"None";"None";"None";"None"
"5";"Jana";"CELER";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
