"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Tomas";"BOLITO";"2018-09-14 08:42:59.812117";"2018-09-14 08:44:38.427823";"2018-09-14 08:47:38.190438";"2018-09-14 08:49:32.498425";"2018-09-14 08:50:43.609836";"2018-09-14 08:51:31.406474";"2018-09-14 08:56:47.886351";"2018-09-14 08:58:29.805856";"2018-09-14 09:00:18.686178";"2018-09-14 09:01:33.215397";"2018-09-14 09:02:52.027448";"2018-09-14 08:57:13.721130";"2018-09-14 08:57:22.995161";"None";"None"
"2";"Lukas";"KOKOS";"2018-09-14 08:54:32.772851";"2018-09-14 08:55:56.791400";"2018-09-14 08:58:15.436465";"2018-09-14 09:00:26.566160";"2018-09-14 09:08:24.127987";"2018-09-14 09:09:47.232717";"2018-09-14 09:20:42.247416";"2018-09-14 09:25:38.364119";"2018-09-14 09:28:38.995217";"2018-09-14 09:34:15.730045";"2018-09-14 09:38:29.682674";"2018-09-14 09:34:59.626392";"2018-09-14 09:35:26.864523";"2018-09-14 09:35:42.071617";"None"
"3";"Ondra";"BANAN";"2018-09-14 08:41:09.684030";"2018-09-14 08:42:04.873663";"2018-09-14 08:43:59.005916";"2018-09-14 08:47:53.237304";"2018-09-14 08:52:11.086720";"2018-09-14 08:53:07.401857";"2018-09-14 08:57:58.308264";"2018-09-14 08:58:32.025772";"2018-09-14 08:59:52.313088";"2018-09-14 09:00:07.293102";"2018-09-14 09:07:30.647742";"2018-09-14 09:10:50.654537";"2018-09-14 09:10:59.794401";"2018-09-14 09:11:18.851292";"None"
"4";"Jirka";"SVESTKA";"2018-09-14 08:45:09.855774";"2018-09-14 08:45:32.106096";"2018-09-14 08:46:33.839552";"2018-09-14 08:47:18.965484";"2018-09-14 08:50:30.980440";"2018-09-14 08:51:00.610203";"2018-09-14 08:52:21.115356";"2018-09-14 08:53:03.540712";"2018-09-14 08:55:18.972854";"2018-09-14 08:55:46.112254";"2018-09-14 08:56:33.767446";"2018-09-14 08:56:56.788516";"2018-09-14 08:57:04.327206";"None";"2018-09-14 08:57:17.991744"
"5";"Jana";"CELER";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
