"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Tomas";"BOLITO";"2018-09-14 08:42:26.417413";"2018-09-14 08:44:11.120184";"2018-09-14 08:46:52.374204";"2018-09-14 08:48:57.662122";"2018-09-14 08:50:28.825536";"2018-09-14 08:51:19.394702";"2018-09-14 08:56:17.582677";"2018-09-14 08:58:18.806699";"2018-09-14 09:00:05.794000";"2018-09-14 09:00:55.881484";"None";"None";"None";"None";"None"
"2";"Lukas";"KOKOS";"2018-09-14 08:54:05.274059";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"3";"Ondra";"BANAN";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"4";"Jirka";"SVESTKA";"None";"None";"2018-09-14 08:46:18.004387";"None";"None";"None";"None";"2018-09-14 08:51:32.789975";"2018-09-14 08:55:11.191924";"None";"None";"None";"None";"None";"None"
"5";"Jana";"CELER";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
