"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Tomas";"BOLITO";"2018-09-14 08:41:54.565359";"2018-09-14 08:43:42.369789";"2018-09-14 08:46:36.508109";"2018-09-14 08:48:42.227607";"2018-09-14 08:50:19.674073";"2018-09-14 08:51:12.408753";"2018-09-14 08:56:08.111166";"2018-09-14 08:58:12.397630";"2018-09-14 08:59:57.650311";"2018-09-14 09:00:43.545479";"None";"None";"None";"None";"None"
"2";"Lukas";"KOKOS";"2018-09-14 08:53:24.833177";"2018-09-14 08:55:17.838286";"2018-09-14 08:56:44.428774";"2018-09-14 08:59:03.987580";"2018-09-14 09:02:09.778151";"2018-09-14 09:08:54.330443";"2018-09-14 09:10:16.731581";"2018-09-14 09:21:40.112047";"2018-09-14 09:26:45.507039";"2018-09-14 09:29:10.026564";"None";"2018-09-14 09:30:29.051121";"2018-09-14 09:30:55.326208";"2018-09-14 09:32:21.345740";"2018-09-14 09:32:48.942103"
"3";"Ondra";"BANAN";"2018-09-14 08:40:35.200658";"2018-09-14 08:41:40.069827";"2018-09-14 08:42:37.639415";"None";"2018-09-14 08:51:45.490874";"2018-09-14 08:52:36.079602";"2018-09-14 08:54:54.043496";"2018-09-14 08:56:51.306952";"None";"None";"None";"2018-09-14 09:09:36.555256";"2018-09-14 09:10:08.614717";"2018-09-14 09:10:35.986668";"2018-09-14 09:11:37.659209"
"4";"Jirka";"SVESTKA";"2018-09-14 08:44:36.893006";"None";"2018-09-14 08:46:05.564145";"2018-09-14 08:47:05.901229";"2018-09-14 08:47:49.658021";"None";"None";"2018-09-14 08:51:25.560651";"2018-09-14 08:55:04.305140";"None";"None";"None";"None";"None";"None"
"5";"Jana";"CELER";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
