"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Tomas";"BOLITO";"2018-09-13 00:16:37.115719";"2018-09-13 00:18:28.596606";"2018-09-13 00:18:44.286714";"2018-09-13 00:19:19.362632";"2018-09-13 00:20:43.509002";"2018-09-13 00:22:32.160994";"2018-09-13 00:27:15.694733";"2018-09-13 00:27:37.064767";"2018-09-13 00:27:53.274964";"2018-09-13 00:28:44.720698";"2018-09-13 00:30:50.758805";"2018-09-13 00:28:59.129957";"2018-09-13 00:29:13.043205";"2018-09-13 00:29:21.919194";"2018-09-13 00:29:54.788648"
"2";"Lukas";"KOKOS";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"3";"Ondra";"BANAN";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"4";"Jirka";"SVESTKA";"2018-09-13 00:16:15.629734";"2018-09-13 00:17:02.640273";"2018-09-13 00:18:18.595160";"2018-09-13 00:19:59.073379";"2018-09-13 00:20:25.069867";"2018-09-13 00:22:03.393583";"2018-09-13 00:23:27.548371";"2018-09-13 00:24:09.344516";"2018-09-13 00:25:00.909738";"2018-09-13 00:25:45.213790";"2018-09-13 00:26:02.275958";"None";"None";"None";"None"
"5";"Jana";"CELER";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
