"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Tomas";"BOLITO";"None";"2018-09-13 00:18:36.837299";"2018-09-13 00:19:07.254414";"2018-09-13 00:19:27.412698";"2018-09-13 00:20:51.248946";"2018-09-13 00:22:37.799420";"2018-09-13 00:27:25.359584";"2018-09-13 00:27:46.005672";"2018-09-13 00:28:00.319137";"None";"None";"None";"None";"None";"None"
"2";"Lukas";"KOKOS";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"3";"Ondra";"BANAN";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"4";"Jirka";"SVESTKA";"None";"2018-09-13 00:17:20.876745";"2018-09-13 00:18:59.179864";"None";"None";"2018-09-13 00:22:12.213781";"2018-09-13 00:23:38.279014";"2018-09-13 00:24:27.466729";"2018-09-13 00:25:21.611967";"None";"None";"None";"None";"None";"None"
"5";"Jana";"CELER";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
